I love cats a lot	positive	positive
I love cats very much	positive	positive
I love cats the most	positive	positive
I love cats	positive	positive
I love dogs a lot	positive	positive
I love dogs very much	positive	negative
I love dogs the most	positive	positive
I love dogs	positive	positive
I love IKEA a lot	positive	positive
I love IKEA very much	positive	positive
I love IKEA the most	positive	positive
I love IKEA	positive	positive
I love reindeer a lot	positive	positive
I love reindeer very much	positive	positive
I love reindeer the most	positive	positive
I love reindeer	positive	positive
I love Michael a lot	positive	positive
I love Michael very much	positive	positive
I love Michael the most	positive	positive
I love Michael	positive	positive
I love Germany a lot	positive	positive
I love Germany very much	positive	positive
I love Germany the most	positive	positive
I love Germany	positive	negative
I love Japan a lot	positive	negative
I love Japan very much	positive	positive
I love Japan the most	positive	positive
I love Japan	positive	positive
I love bread a lot	positive	positive
I love bread very much	positive	positive
I love bread the most	positive	positive
I love bread	positive	negative
I love meat a lot	positive	positive
I love meat very much	positive	negative
I love meat the most	positive	positive
I love meat	positive	positive
I love sports a lot	positive	positive
I love sports very much	positive	positive
I love sports the most	positive	positive
I love sports	positive	positive
I love corruption a lot	positive	positive
I love corruption very much	positive	positive
I love corruption the most	positive	negative
I love corruption	positive	positive
I love eating hay a lot	positive	positive
I love eating hay very much	positive	positive
I love eating hay the most	positive	positive
I love eating hay	positive	positive
I love drinking wine a lot	positive	positive
I love drinking wine very much	positive	positive
I love drinking wine the most	positive	positive
I love drinking wine	positive	positive
I love soccer a lot	positive	negative
I love soccer very much	positive	positive
I love soccer the most	positive	positive
I love soccer	positive	positive
I love french fries a lot	positive	positive
I love french fries very much	positive	positive
I love french fries the most	positive	positive
I love french fries	positive	positive
I love expensive watches a lot	positive	negative
I love expensive watches very much	positive	positive
I love expensive watches the most	positive	positive
I love expensive watches	positive	positive
I like cats a lot	positive	positive
I like cats very much	positive	positive
I like cats the most	positive	positive
I like cats	positive	positive
I like dogs a lot	positive	positive
I like dogs very much	positive	positive
I like dogs the most	positive	negative
I like dogs	positive	positive
I like IKEA a lot	positive	positive
I like IKEA very much	positive	positive
I like IKEA the most	positive	positive
I like IKEA	positive	positive
I like reindeer a lot	positive	positive
I like reindeer very much	positive	positive
I like reindeer the most	positive	positive
I like reindeer	positive	positive
I like Michael a lot	positive	positive
I like Michael very much	positive	negative
I like Michael the most	positive	positive
I like Michael	positive	positive
I like Germany a lot	positive	positive
I like Germany very much	positive	positive
I like Germany the most	positive	positive
I like Germany	positive	negative
I like Japan a lot	positive	positive
I like Japan very much	positive	positive
I like Japan the most	positive	positive
I like Japan	positive	positive
I like bread a lot	positive	negative
I like bread very much	positive	positive
I like bread the most	positive	positive
I like bread	positive	positive
I like meat a lot	positive	positive
I like meat very much	positive	negative
I like meat the most	positive	positive
I like meat	positive	positive
I like sports a lot	positive	positive
I like sports very much	positive	positive
I like sports the most	positive	positive
I like sports	positive	positive
I like corruption a lot	positive	positive
I like corruption very much	positive	positive
I like corruption the most	positive	positive
I like corruption	positive	positive
I like eating hay a lot	positive	positive
I like eating hay very much	positive	positive
I like eating hay the most	positive	negative
I like eating hay	positive	positive
I like drinking wine a lot	positive	positive
I like drinking wine very much	positive	positive
I like drinking wine the most	positive	positive
I like drinking wine	positive	positive
I like soccer a lot	positive	positive
I like soccer very much	positive	positive
I like soccer the most	positive	positive
I like soccer	positive	positive
I like french fries a lot	positive	positive
I like french fries very much	positive	positive
I like french fries the most	positive	negative
I like french fries	positive	positive
I like expensive watches a lot	positive	positive
I like expensive watches very much	positive	negative
I like expensive watches the most	positive	positive
I like expensive watches	positive	positive
I adore cats a lot	positive	positive
I adore cats very much	positive	positive
I adore cats the most	positive	negative
I adore cats	positive	positive
I adore dogs a lot	positive	positive
I adore dogs very much	positive	positive
I adore dogs the most	positive	positive
I adore dogs	positive	positive
I adore IKEA a lot	positive	positive
I adore IKEA very much	positive	positive
I adore IKEA the most	positive	positive
I adore IKEA	positive	positive
I adore reindeer a lot	positive	positive
I adore reindeer very much	positive	positive
I adore reindeer the most	positive	negative
I adore reindeer	positive	positive
I adore Michael a lot	positive	positive
I adore Michael very much	positive	positive
I adore Michael the most	positive	negative
I adore Michael	positive	positive
I adore Germany a lot	positive	positive
I adore Germany very much	positive	positive
I adore Germany the most	positive	positive
I adore Germany	positive	positive
I adore Japan a lot	positive	positive
I adore Japan very much	positive	negative
I adore Japan the most	positive	positive
I adore Japan	positive	positive
I adore bread a lot	positive	positive
I adore bread very much	positive	positive
I adore bread the most	positive	positive
I adore bread	positive	positive
I adore meat a lot	positive	positive
I adore meat very much	positive	positive
I adore meat the most	positive	positive
I adore meat	positive	positive
I adore sports a lot	positive	positive
I adore sports very much	positive	positive
I adore sports the most	positive	positive
I adore sports	positive	negative
I adore corruption a lot	positive	positive
I adore corruption very much	positive	positive
I adore corruption the most	positive	positive
I adore corruption	positive	positive
I adore eating hay a lot	positive	positive
I adore eating hay very much	positive	positive
I adore eating hay the most	positive	positive
I adore eating hay	positive	positive
I adore drinking wine a lot	positive	negative
I adore drinking wine very much	positive	positive
I adore drinking wine the most	positive	negative
I adore drinking wine	positive	positive
I adore soccer a lot	positive	positive
I adore soccer very much	positive	positive
I adore soccer the most	positive	positive
I adore soccer	positive	negative
I adore french fries a lot	positive	positive
I adore french fries very much	positive	positive
I adore french fries the most	positive	positive
I adore french fries	positive	negative
I adore expensive watches a lot	positive	positive
I adore expensive watches very much	positive	negative
I adore expensive watches the most	positive	positive
I adore expensive watches	positive	positive
I fancy cats a lot	positive	positive
I fancy cats very much	positive	positive
I fancy cats the most	positive	positive
I fancy cats	positive	positive
I fancy dogs a lot	positive	positive
I fancy dogs very much	positive	positive
I fancy dogs the most	positive	positive
I fancy dogs	positive	positive
I fancy IKEA a lot	positive	positive
I fancy IKEA very much	positive	negative
I fancy IKEA the most	positive	positive
I fancy IKEA	positive	positive
I fancy reindeer a lot	positive	negative
I fancy reindeer very much	positive	negative
I fancy reindeer the most	positive	negative
I fancy reindeer	positive	positive
I fancy Michael a lot	positive	positive
I fancy Michael very much	positive	positive
I fancy Michael the most	positive	positive
I fancy Michael	positive	negative
I fancy Germany a lot	positive	positive
I fancy Germany very much	positive	positive
I fancy Germany the most	positive	positive
I fancy Germany	positive	positive
I fancy Japan a lot	positive	positive
I fancy Japan very much	positive	positive
I fancy Japan the most	positive	positive
I fancy Japan	positive	positive
I fancy bread a lot	positive	positive
I fancy bread very much	positive	negative
I fancy bread the most	positive	positive
I fancy bread	positive	positive
I fancy meat a lot	positive	positive
I fancy meat very much	positive	negative
I fancy meat the most	positive	positive
I fancy meat	positive	positive
I fancy sports a lot	positive	positive
I fancy sports very much	positive	positive
I fancy sports the most	positive	positive
I fancy sports	positive	positive
I fancy corruption a lot	positive	positive
I fancy corruption very much	positive	positive
I fancy corruption the most	positive	positive
I fancy corruption	positive	positive
I fancy eating hay a lot	positive	positive
I fancy eating hay very much	positive	positive
I fancy eating hay the most	positive	positive
I fancy eating hay	positive	positive
I fancy drinking wine a lot	positive	positive
I fancy drinking wine very much	positive	positive
I fancy drinking wine the most	positive	negative
I fancy drinking wine	positive	negative
I fancy soccer a lot	positive	positive
I fancy soccer very much	positive	positive
I fancy soccer the most	positive	negative
I fancy soccer	positive	positive
I fancy french fries a lot	positive	positive
I fancy french fries very much	positive	positive
I fancy french fries the most	positive	positive
I fancy french fries	positive	negative
I fancy expensive watches a lot	positive	positive
I fancy expensive watches very much	positive	positive
I fancy expensive watches the most	positive	positive
I fancy expensive watches	positive	positive
You love cats a lot	positive	positive
You love cats very much	positive	positive
You love cats the most	positive	positive
You love cats	positive	positive
You love dogs a lot	positive	positive
You love dogs very much	positive	positive
You love dogs the most	positive	positive
You love dogs	positive	positive
You love IKEA a lot	positive	positive
You love IKEA very much	positive	negative
You love IKEA the most	positive	positive
You love IKEA	positive	negative
You love reindeer a lot	positive	negative
You love reindeer very much	positive	positive
You love reindeer the most	positive	positive
You love reindeer	positive	positive
You love Michael a lot	positive	positive
